fid,month,year,site,water,temp,s.temp,sal,sal2,vvha,vvha.l,vvha.u,pilf,pilf.l,pilf.u,tlh,tlh.l,tlh.u,tdh,tdh.l,tdh.u,trh,trh.l,trh.u,log.vvha,log.pilf,log.tlh,log.tdh,log.trh,water.log.vvha,water.log.pilf,water.log.tlh,water.log.tdh,water.log.trh,chlo,pheo,turb
117,5,2014,1,30,21,-0.070793459,7,49,420,100,1700,92,23,370,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,6.04E+00,4.52E+00,-1.03E+01,-2.36E+01,-2.36E+01,3.044522438,0.405465108,-26.40724568,-26.40724568,-26.40724568,19.19,3.3,9.8
118,5,2014,1,30,21,-0.070793459,7,49,9200,2300,37000,920,230,3700,21,6.1,73,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,9.13E+00,6.82E+00,1.32E+00,-2.36E+01,-2.36E+01,3.044522438,0.405465108,-26.40724568,-26.40724568,-26.40724568,19.19,3.3,9.8
119,5,2014,1,30,21,-0.070793459,7,49,1400,400,5100,42,10,170,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,7.24E+00,3.74E+00,-1.03E+01,-2.36E+01,-2.36E+01,3.044522438,0.405465108,-26.40724568,-26.40724568,-26.40724568,19.19,3.3,9.8
120,5,2014,1,30,21,-0.070793459,7,49,1500,410,5200,230,66,800,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,7.31E+00,5.44E+00,5.56E-01,-2.36E+01,-2.36E+01,3.044522438,0.405465108,-26.40724568,-26.40724568,-26.40724568,19.19,3.3,9.8
121,5,2014,2,31,21,-0.070793459,17,289,1500,410,5200,92,23,370,1100,300,4300,23,6.6,80,9.2,2.3,37,7.31E+00,4.52E+00,3.04E+00,3.14E+00,2.22E+00,2.00148,-0.083381609,2.708050201,-1.021651248,-26.40724568,5.51,1.26,5.9
122,5,2014,2,31,21,-0.070793459,17,289,920,230,3700,23,6.6,80,1500,410,5200,42,10,170,23,6.6,80,6.82E+00,3.14E+00,3.18E+00,3.74E+00,3.14E+00,2.00148,-0.083381609,2.708050201,-1.021651248,-26.40724568,5.51,1.26,5.9
123,5,2014,2,31,21,-0.070793459,17,289,4200,1000,17000,420,100,1700,2300,660,8000,92,23,370,92,23,370,8.34E+00,6.04E+00,3.36E+00,4.52E+00,4.52E+00,2.00148,-0.083381609,2.708050201,-1.021651248,-26.40724568,5.51,1.26,5.9
124,5,2014,2,31,21,-0.070793459,17,289,920,230,3700,42,10,170,920,230,3700,9.2,2.3,37,42,10,170,6.82E+00,3.74E+00,2.96E+00,2.22E+00,3.74E+00,2.00148,-0.083381609,2.708050201,-1.021651248,-26.40724568,5.51,1.26,5.9
125,5,2014,4,32,19,-0.417437291,32,1024,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,20,5.9,71,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,1.30E+00,1.28E+00,-2.36E+01,-26.40724568,-26.40724568,2.219203484,0.405465108,-26.40724568,18.06,28.61,160
126,5,2014,4,32,19,-0.417437291,32,1024,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,23,6.6,80,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,1.36E+00,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,2.219203484,0.405465108,-26.40724568,18.06,28.61,160
127,5,2014,4,32,19,-0.417437291,32,1024,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,230,66,800,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.28E+00,-2.36E+01,2.36E+00,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,2.219203484,0.405465108,-26.40724568,18.06,28.61,160
